song,artist
Come Into My World (Radio Edit),Kylie Minogue
2 Hearts,Kylie Minogue
Hand On Your Heart (7'' Backing Track),Kylie Minogue
Better the Devil You Know,Kylie Minogue
Don't Let the Sun Go Down on Me,Elton John
Beast of Burden (Remastered 2009),The Rolling Stones
Hey Hey Hallelujah (feat. Andy Grammer),Rachel Platten
Peace,Brumby
Brooklyn,Longfellow
Day Dream Skin Up,Billy Sanders
Dreamboat Picture,The Empire Police
Always Comes Back to Me,Idle Frets
Step Two (feat. Lilja Bloom),Parov Stelar
Symphony (feat. Zara Larsson),Clean Bandit
Slow Hands,Niall Horan
belong (feat. DENM),gnash
Want You Back,HAIM
Three Rings,Grizzly Bear
Keine Macht für Niemand,The Twang
Move On,The Spitfires
What You Gonna Do About Me?,TeenCanteen
Q.U.E.E.N. (feat. Erykah Badu),Janelle Monáe
Not Ready To Make Nice,Dixie Chicks
Think (About It),Lyn Collins
Man! I Feel Like a Woman!,Shania Twain
Don't Touch My Hair (feat. Sampha),Solange
Not A Pretty Girl,Ani DiFranco
Don't Make Me Over,Dionne Warwick
Scars to Your Beautiful,Alessia Cara
You Don't Own Me,Lesley Gore
Wannabe (Radio Edit),Spice Girls
Siempre Estaré Ahí (feat. Diego Torres),Rachel Platten
Superman,Rachel Platten
Congratulations,Rachel Platten
Angels in Chelsea,Rachel Platten
Astronauts,Rachel Platten
Speechless,Rachel Platten
Cosmic Love (unplugged),Florence + the Machine
Jackson (Unplugged),Florence + the Machine
Drumming Song (unplugged),Florence + the Machine
Heartlines  (Unplugged Acoustic),Florence + the Machine
Breaking Down (Unplugged),Florence + the Machine
No Light No Light (Unplugged),Florence + the Machine
Only If For A Night (Unplugged),Florence + the Machine
I Am Woman,Helen Reddy
Dreams of a Samurai,Red Hot Chili Peppers
Encore,Red Hot Chili Peppers
This Ticonderoga,Red Hot Chili Peppers
Detroit,Red Hot Chili Peppers
Feasting on the Flowers,Red Hot Chili Peppers
Wouldn't It Be Nice (stereo mix),The Beach Boys
Wouldn't It Be Nice,The Nairobi Incident
Different Names for the Same Thing,Death Cab for Cutie
Firework,Katy Perry
Next To Me (iTunes Session),Emeli Sandé
Boys Like You (feat. Meghan Trainor & Ariana Grande),Who Is Fancy
Obviously,McFly
Get Loose,The Coronas
All Works Out,The Riptide Movement
Spirits,The Strumbellas
Chained to the Rhythm (feat. Skip Marley),Katy Perry
Run Away with Me,Carly Rae Jepsen
What's My Name? (feat. Drake),Rihanna
Something in the Way You Move,Ellie Goulding
Not A One,The Young Wild
Conqueror,Aurora
Sunlight,Nicky Byrne
These Days,Take That
Shiny Happy People,Karizma Duo
Shiny Happy People (Dance to the Music mix),R.E.M.
Shiny Happy People,Renee & Jeremy
Your Love Alone Is Not Enough (James Solo Acoustic),Manic Street Preachers
Can't Help Falling in Love,Elvis Presley
Tout Doucement,Feist
Ran,Future Islands
Shelter,Porter Robinson & Madeon
In The Name Of Love,Martin Garrix & Bebe Rexha
People On The High Line (Extended Mix),New Order
Middle (feat. Bipolar Sunshine),DJ Snake
Total Entertainment Forever,Father John Misty
Safe And Sound,Justice
All We Ever Knew,The Head and the Heart
Friends,Empire of the Sun
22 (OVER S∞∞N),Bon Iver
Sweet,Little Dragon
Blame,Bastille
No Reason (feat. Nick Murphy),Bonobo
Dangerous,The xx
HUMBLE.,Kendrick Lamar
Perfect Illusion,Lady Gaga
Flight to the Ford,Howard Shore
Wasn't Easy,GJan
SAMARITAN,ionnalee
Two Heads,Lonely The Brave
Fighting Myself,Husky Loops
My Bark Is Your Bite,Blaenavon
Revolution,RAT BOY
Waiting for You,Gavin Haley
Stoned on You,Jaymes Young
Cringe,Matt Maeson
Lung,Vancouver Sleep Clinic
Pockets Full of No,Coast Modern
Wake Me Up,Jessica Mauboy
Taxi,The Maine
Lift Me Up,Imaginary Future
Atlas: Heart,Sleeping at Last
Hurt so Good,Mipso
Attack Of The Ghost Riders,The Asteroids Galaxy Tour
Satellite,The Asteroids Galaxy Tour
The Upper Reaches (feat. Piers Faccini),Guy Buttery
Trouvez Mois,Van T
Shelter from the Storm (Bonus Track),Van T
Our Goodbye,Van T
What Do You Do?,Van T
We're Still Running,Van T
As We Lay Sleeping,Van T
Restless Spring,Van T
Paper Blood,Van T
Ocean Blues,Van T
Someone Else's Life,Joshua Radin
Life in Technicolor,Coldplay
Sana ne Kime ne,Ajda Pekkan
Haykiracak Nefesim Kalmasa Bile,Ajda Pekkan
Hoşgör Sen,Ajda Pekkan
Hey Mama Wolf,Devendra Banhart
Bird Song Intro,Florence + the Machine
Take on Me,a-ha
Sweet Child o' Mine,Guns N' Roses
New Year's Day,U2
I Melt with You,Modern English
Planet Earth (single version),Duran Duran
Going Back To Cali,LL Cool J
Town Called Malice,The Jam
Hey Jealousy,Gin Blossoms
Everybody Wants to Rule the World,Tears for Fears
Tainted Love,Soft Cell
Dog Days Are Over (demo),Florence + the Machine
You've Got a Friend in Me,Randy Newman & Lyle Lovett
The Man In Me (Live From Avatar Studios),Ray LaMontagne and the Pariah Dogs
The Man In Me,The Persuasions
Love Me Two Times,The Doors
You've Got A Friend In Me (From Toy Story),Randy Newman
The Man in Me,Nick Kamen
Master Hunter,Laura Marling
The Look,Metronomy
Live Those Days Tonight,Friendly Fires
Namaste,Swim Deep
Money,Peace
You're a Germ,Wolf Alice
Dreaming of Another World,Mystery Jets
If You Wanna,The Vaccines
Asleep,Xiu Xiu
I Won't Share You,Dykehouse
Body High,Harrison Brome
Ocean Eyes (Astronomyy Remix),Billie Eilish
ocean eyes,Billie Eilish
Six Feet Under,Billie Eilish
Paralysed,Majik
Everything'll Change,Michl
For You,LÉON
Kewane,Kardeş Türküler
kara üzüm habbesi,Kardeş Türküler
Bahçada Yesil Çinar (Nanay) - Gazel,Kardeş Türküler
Dayan,Candan Erçetin
Saturday Night's Alright (For Fighting),Elton John
Heartbreak Hotel,Elvis Presley
Solitude Is Bliss,Tame Impala
This Mess We're In,PJ Harvey
Your Love Alone Is Not Enough (feat. Nina Persson),Manic Street Preachers
Red Right Hand,Nick Cave & the Bad Seeds
Automatic,The Subways
I Am Young,The Subways
encore at 1 am,The Subways
Somewhere,The Subways
She Sun,The Subways
With You,The Subways
No Goodbyes,The Subways
City Pavement,The Subways
Oh Yeah,The Subways
Lines of Light,The Subways
Young for Eternity,The Subways
Mary,The Subways
I Want to Hear What You Have Got to Say,The Subways
Kiss Kiss Bang Bang (Radio Mix),The Subways
Kiss Kiss Bang Bang,The Subways
Wave(S) [Demo Taped Remix],Lewis Del Mar
Live That Long,Lewis Del Mar
Call My Name,Freia
Rock It (To the Moon) [feat. KUMMERSPECK],RuPaul
F.F.F. (feat. G-Eazy),Bebe Rexha
French Class,HalfNoise
By Your Side,The 1975
Lightning,RKDN
Way It Goes,Hippo Campus
Your Love Could Start a War,The Unlikely Candidates
I Don't Wanna Dance,Coin
It Just Comes And Goes,Old Man Canyon
Astronaut,Lukr
Spring Feeling,Toby Martin
Foreign Hands,George Ogilvie
A Kindly Reminder,Passenger
02 - The Fear,Travis
08 - Luv,Travis
01 Writing To Reach You,Travis
10 - Slide Show,Travis
05 - The Last Laugh Of The Laughter,Travis
03 - As You Are,Travis
09 - She's So Strange,Travis
07 - Why Does I Always Rain On Me,Travis
She Will Be Loved,Maroon 5
It Was Always You,Maroon 5
This Summer,Maroon 5
Maps,Maroon 5
Animals,Maroon 5
Cold (feat. Future),Maroon 5
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5
Jumpin' Jack Flash (Mono),The Rolling Stones
Commit a Crime,The Rolling Stones
Blue and Lonesome,The Rolling Stones
You Can't Always Get What You Want,The Rolling Stones
Gimme Shelter,The Rolling Stones
Paint It Black,The Rolling Stones
Sympathy for the Devil,The Rolling Stones
Hate to See You Go,The Rolling Stones
Miss You (Remastered),The Rolling Stones
(I Can't Get No) Satisfaction,The Rolling Stones
Wild Horses (Acoustic),The Rolling Stones
Brown Sugar,The Rolling Stones
Start Me Up,The Rolling Stones
Just Your Fool,The Rolling Stones
Anybody Seen My Baby?,The Rolling Stones
Ride 'Em on Down,The Rolling Stones
Norwegian Wood (This Bird Has Flown),The Beatles
She Got Caught,In hoodies
Cliquot,Beirut
On a Day Like Today,Keane
Sunshine,Keane
Can't Stop Now,Keane
Your Eyes Open,Keane
Bend and Break,Keane
A Candle’s Fire,Beirut
Drink Up,Train
Drive By,Train
Drops of Jupiter,Train
A Place You Like,Island
Go Home,Yellow Days
Be Nobody,Sundara Karma
Gibraltar Ape,Cabbage
Black Magic,The Amazons
Why Do I Always Feel This Way,Pale Honey
Happiness Pt. 1,Satchmode
Temperamental Love,Bridgit Mendler & Devontée
Slow Motion,Heffron Drive
Call Me Up,HOMESHAKE
Different Piano Song,David Luning
Kindling,Alan Gogoll
Something,Imaginary Future
We Got Love,The Talbott Brothers
Waiting on a Woman (Acoustic),Adam Friedman
Evergreen (Rolling Stock Remix) [Radio Edit],Shaun Escoffery & Joss Stone
Evergreen (Rolling Stock Remix),Shaun Escoffery & Joss Stone
Modern Day Frankenstein,Lucy Spraggan
It's How I Feel (FREE),Leopold and His Fiction
Little Boy,Barns Courtney
Misused Adrenaline,Dryjacket
If U C My Enemies,Rubblebucket
Bright Like Gold,Nine Pound Shadow
Vampires,Le Trouble
You & I,Colony House
No Answers,Amber Run
Ordinary World,Joy Williams
Miss You,Gabrielle Aplin
Quiet,MILCK
Stranglehold,Kevin Garrett
21 Days,Scott Helman
The Pressure,Ryan Corn
Up and Up,Lennon & Maisy
Insecure,RaeLynn
Don't Wanna Know (feat. Sarah Hyland),Boyce Avenue
Yıldızların Altında,Zeki Müren
Gitme sana muhtacım,Zeki Müren
Gizli Aşk Bu,Zeki Müren
aşkın kanunu,Zeki Müren
Money Maker,The Black Keys
Elbet Birgün Buluşacağız,Zeki Müren
gökyüzünde yalnız gezen yıldızlar,Zeki Müren
Şimdi Uzaklardasın,Zeki Müren
Gözleri Aşka Gülen,Nesrin Sipahi
Gücüme Gidiyor Böyle Yaşamak,Zeki Müren
Poison & Wine,The Civil Wars
Brother,Matt Corby
Honey & I,HAIM
Sweet Thing,Van Morrison
Didn't It Rain,Sister Rosetta Tharpe
Illinois Blues,Skip James
Grow Old with Me,Tom Odell
Forgiveness,Ben Lee
Stand By Me (Live from the Late Show with David Letterman),Tracy Chapman
Like I'm Gonna Lose You,Jasmine Thompson
This Night Has Opened My Eyes,The Smiths
Back to the Old House,The Smiths
I Won't Share You,Janice Whaley
Interesting Drug,Morrissey
Ouija Board Ouija Board (Remastered),Morrissey
November Spawned a Monster,Morrissey
Frankly Mr. Shankly,The Smiths
Goodbye Little Boy,The Triffids
Dreams,The Cranberries
I Predict a Riot,Kaiser Chiefs
God Knows (MTV Unplugged),Mando Diao
Little Toy Gun,honeyhoney
Lawdy Miss Clawdy,Elvis Presley
Mystery Train,Elvis Presley
That's All Right,Elvis Presley
Falling In Love,Us The Duo
Relative Peace (Oban Rework),Kimbra Young Dreams & Jaga Jazzist
Islands,Young the Giant
Apartment,Young the Giant
My Body,Young the Giant
Amerika,Young the Giant
Silvertongue,Young the Giant
Something To Believe In,Young the Giant
St. Apollonia,Beirut
Bookends,Simon & Garfunkel
See I'm Alive,The Mowgli's
Hi Hey There Hello,The Mowgli's
Slowly Slowly,The Mowgli's
Love Is Easy,The Mowgli's
Carry Your Will,The Mowgli's
San Francisco,The Mowgli's
The Great Bear,Great Lake Swimmers
Expecting You,Great Lake Swimmers
Something Like a Storm,Great Lake Swimmers
Christmas Island,Lake
Le quattro stagione (The Four Seasons) Op. 8 Concerto No. 1 in E Major RV 269 La primavera [Spring]: I. Allegro,Janine Jansen Candida Thompson Henk Rubingh Julian Rachlin Stacey Watton Maarten Jansen Liz Kenny & Jan Jansen
Le quattro stagione (The Four Seasons) Op. 8 Concerto No. 3 in F Major RV 293 L'autunno [Autumn]: I. Allegro,Janine Jansen Candida Thompson Henk Rubingh Julian Rachlin Maarten Jansen Stacey Watton Liz Kenny & Jan Jansen
Goodnight and Go,Imogen Heap
Shake It Out (acoustic),Florence + the Machine
Dog Days Are Over (Unplugged),Florence + the Machine
Landscape (Unplugged Demo),Florence + the Machine
Shake It Out (Unplugged),Florence + the Machine
Dear Diary,Travis
Follow The Light,Travis
The Cage,Travis
Say Something Loving,The xx
Mreyte Ya Mreyte,Khaled Mouzanar
Crocodile Rock,Elton John
The Reason,Hoobastank
Vindicated,Dashboard Confessional
Kryptonite,3 Doors Down
Thnks fr th Mmrs,Fall Out Boy
Dirty Little Secret,The All-American Rejects
Behind Blue Eyes,Limp Bizkit
Bartender (Bonus Track),Regina Spektor
Music Box (Bonus Version),Regina Spektor
Düsseldorf (Bonus Version),Regina Spektor
Baobabs (Bonus Version),Regina Spektor
Uh-Merica (Bonus Version),Regina Spektor
Another Town (Bonus Version),Regina Spektor
Summer in the City,Regina Spektor
Lady,Regina Spektor
Edit,Regina Spektor
That Time,Regina Spektor
20 Years of Snow,Regina Spektor
Après Moi,Regina Spektor
Hotel Song,Regina Spektor
Second to Numb,Kings of Convenience
Un dernier verre (Pour la route),Beirut
The Flying Club Cup,Beirut
Forks And Knives (La Fête),Beirut
In the Mausoleum,Beirut
Outt!,Buke and Gase
Stronger,Britney Spears
Boys (Co-Ed Remix) [feat. Pharrell Williams of N.E.R.D.],Britney Spears
(You Drive Me) Crazy [The Stop Remix!],Britney Spears
Everytime,Britney Spears
Me Against the Music (feat. Madonna),Britney Spears
Summer's End,Brian Crain
Andante Cantabile,Brian Crain
Under the Willow,Brian Crain
Kindred Spirits,Brian Crain
Joaquim,Oscar and the Wolf
Princes,Oscar and the Wolf
You're Mine (feat. Oscar and the Wolf),Raving George
Fly Away (Piano and Cello),Brian Crain
A Love Story,Brian Crain
Softness and Light,Brian Crain
Time Forgotten,Brian Crain
Winter,Brian Crain
Moonlit Shore,Brian Crain
Italian Summer,Brian Crain
Fire,Brian Crain
Reflecting Pool,Brian Crain
Song for Rome,Brian Crain
Water,Brian Crain
Butterfly Waltz,Brian Crain
August Moon,Brian Crain
The Edge of a Petal,Brian Crain
Finding Home,Brian Crain
Field of Daisies,Brian Crain
Rain,Brian Crain
Earth,Brian Crain
At the Ivy Gate,Brian Crain
Midsummer Night,Brian Crain
Dream of Flying,Brian Crain
Imagining,Brian Crain
Song for Sienna,Brian Crain
It Must Have Been Love,Jessica Mauboy
All Time Low,Sam Tsui & Casey Breves
I'm Me,Us The Duo
Someday (feat. Meghan Trainor),Michael Bublé
I'm a Slave 4 U,Britney Spears
I Love Rock 'N' Roll,Britney Spears
Deja Vu (feat. Jay -Z),Beyoncé
Well I Wonder,The Smiths
The Wheel,PJ Harvey
This Is Love,PJ Harvey
Down by the Water,PJ Harvey
Leaving You,Wolf Alice
I'm Gonna Make It Better,She & Him
The Whole World Is Our Playground,Peter Doherty
Elate Me,The MNKD
Boots of Spanish Leather,The Lumineers
Misty,Caamp
Sad,Adam Friedman
Fireplace,Ryan Amador & Daniel Weidlein
Overcome,Vaults
Blank You Out,Seafret
Flower Line,Om Shankar
If You Forget Me,Matt Woods
Good Die Young,Molly Kate Kestner
You And Christmas,People You Know
The Christmas Blues,People You Know
Holly Jolly Christmas,People You Know
Not Over You,Tessa Violet
I Wan'na Be Like You (The Monkey Song),Tessa Violet
This I Pray for You,Tessa Violet
Now That We're Done,Tessa Violet
I Don't Get To Say I Love You Anymore,Tessa Violet
Like You Used To,Tessa Violet
Broken Record,Tessa Violet
The Things I Do,Tessa Violet
Tennessee,Tessa Violet
Spend Some Time,Tessa Violet
Make Me Robot,Tessa Violet
Just Right,Tessa Violet
Sorry I'm Not Sorry,Tessa Violet
On My Own,Tessa Violet
I Think I'm in Love,Spiritualized
Optimistic,Radiohead
Nude,Radiohead
15 Step,Radiohead
The Bends,Radiohead
There There,Radiohead
House of Cards,Radiohead
Try A Little Tenderness (Unplugged),Florence + the Machine
Never Let Me Go (Unplugged),Florence + the Machine
Ophelia,The Lumineers
Idioteque,Radiohead
The National Anthem,Radiohead
Gale Song,The Lumineers
Holdin’ Out,The Lumineers
Sick in the Head,The Lumineers
Big Parade,The Lumineers
Rules of Adulthood,In hoodies
Rocket Man (I Think It's Going to Be a Long Long Time),Elton John
Atlantic,Keane
Flicker,Tori Amos
Make You Feel My Love,Sleeping at Last
Dance,Leon Else
West Coast (Under The Covers),Max Jury
Hold Me Now,Ryan O'Shaughnessy
Shadow & Light,Martin Luke Brown
Dream Song,Ben Gibbard
I Will Be,Florence + the Machine
Bach Musette,Classical Lullabies
Boccherini Minuet,Classical Lullabies
Brahms' Lullaby,Classical Lullabies
Carol of the Bells,Classical Lullabies
Danny Boy,Classical Lullabies
Fur Elise,Classical Lullabies
Greensleeves,Classical Lullabies
Lullabies,Classical Lullabies
Deep Sleep,Classical Lullabies
Bedtime Mozart,Classical Lullabies
Sleep Music Lullabies,Classical Lullabies
Baby Sleep,Classical Lullabies
Bedtime Baby,Classical Lullabies
Rockabye Baby,Classical Lullabies
Pavane,Classical Lullabies
Vivaldi Spring (From The Four Seasons),Classical Lullabies
Pachelbel's Canon,Classical Lullabies
Mozart Sonata In A,Classical Lullabies
Twinkle Twinkle Little Star,Classical Lullabies
Mozart Eine Kleine Nachtmusik,Classical Lullabies
Trouble,José James
I Close My Eyes And Count To Ten,Dusty Springfield
Fall For You,Leela James
100 Days 100 Nights,Sharon Jones & The Dap-Kings
Age,Lianne La Havas
None of Us Are Free,Solomon Burke
Drown in My Own Tears,Aretha Franklin
Stand Up Pt. 2,Lee Fields & Sugarman 3
How Long,Charles Bradley
Lies,Slaves
Six Pieces: I,Howard Shore
Wasting Time,Day Wave
Times Are Still Changing,The Mowgli's
Wonderful Lies,Daise
Romantic,Slow Hollows
Comin' Home Baby,Harrison Craig
Numb,David Archuleta
Better,SafetySuit
Real,Majik
Story of My Life (Live at the Troubadour),Jamie Scott
Cassiopeia,Ruby Gill
Oceans,Leo Stannard
Anthem,Leonard Cohen
Birmingham Sunday,Joan Baez
Somebody's Love,Passenger
Concerto in A minor for 4 keyboards BWV1065: I. Allegro,Bruno Rigutto Ensemble Orchestral de Paris Gabriel Tacchino Jean-Philippe Collard Jean-Pierre Wallez & Michel Béroff
Partita III BWV 1006 in E major: I. Preludio,Isabelle Faust
Goldberg Variations BWV 988 (1955 Recording): Variation 1 a 1 Clav.,Glenn Gould
Goldberg Variations BWV 988 (1955 recording): Aria,Glenn Gould
Toccata and Fugue in D Minor BWV 565: I. Toccata,Ton Koopman
Partite diverse sopra il corale O Gott Du Frommer Gott BWV 767: Partita IX,Andreas Staier
Suite No. 3 in D Major BWV 1068: II. Air,Freiburger Barockorchester Gottfried von der Goltz & Petra Müllejans
Matthäus-Passion BWV 244 Pt. 2: 68. Chorus I & II Wir setzen uns mit Tränen nieder,RIAS Kammerchor Staats- und Domchor Berlin Akademie für Alte Musik Berlin & René Jacobs
Köthener Trauermusik BWV 244a: I. Klagt Kinder klagt es aller Welt (Chorus),Ensemble Pygmalion & Raphaël Pichon
Coffee Cantata BWV 211: Ei! wie schmeckt der Coffee susse,Emma Kirkby David Thomas Academy of Ancient Music & Christopher Hogwood
Concerto for Violin and Oboe in C Minor BWV 1060R: II. Adagio,Orquesta Lírica de Barcelona & José María Damunt
Concerto pour violon No. 1 in D Minor BWV 1052: I. Allegro,Gli Incogniti & Amandine Beyer
Cello Suite No. 1 in G Major BWV 1007: I. Prélude,Jean-Guihen Queyras
Goldberg Variations BWV 988 (1955 Recording): Variation 9 a 1 Clav. Canone alla Terza,Glenn Gould
Electricity,Orchestral Manoeuvres in the Dark
Halfway To Nowhere,Chelou
October,George Ogilvie
Red,Laura Welsh
Lamplight,Bombay Bicycle Club
Glass In The Park,Annie & Bern
Ayrılık Şarkısı,Kazım Koyuncu
Sense,Tom Odell
I Know,Tom Odell
Hold Me,Tom Odell
Starálfur,Sigur Rós
The Rains of Castamere,Sigur Rós
Olsen Olsen,Sigur Rós
Time to Pretend,MGMT
소풍 Picnic (feat. 윤하 YounHa),So Ji Sub
18 Years (Feat. Saetbyul),So Ji Sub
What The Water Gave Me (Unplugged),Florence + the Machine
Eyes Open,Gossip
Coal to Diamonds,Gossip
Jealous Girls,Gossip
Standing In The Way Of Control,Gossip
Ball And Chain (Live),Janis Joplin
Try (Just a Little Bit Harder),Janis Joplin
Cry Baby,Janis Joplin
Maybe,Janis Joplin
Everything,Lifehouse
You and Me,Lifehouse
Ever The Same,Rob Thomas
This Is How a Heart Breaks,Rob Thomas
I Think We'd Feel Good Together,Rob Thomas
Little Wonders,Rob Thomas
Pieces (Sam Feldt Remix),Rob Thomas
Lonely No More,Rob Thomas
Kids,OneRepublic
Oh My My (feat. Cassius),OneRepublic
Apologize (iTunes Session),OneRepublic
Future Looks Good,OneRepublic
Let's Hurt Tonight,OneRepublic
Love Runs Out,OneRepublic
Wherever I Go,OneRepublic
A.I. (feat. Peter Gabriel),OneRepublic
Behind These Hazel Eyes,Kelly Clarkson
Already Gone,Kelly Clarkson
